"Référence Produit";ISBN;EAN13;"Nom Produit";"Quantité en Stock";"Quantité Vendue June 2025";"Quantité Vendue 01 Jul 2024 - 30 Jun 2025XXX"
182-UNITE;978-2-491255-80-0;9782491255800;"Neuvaine à Saint Jean Paul II _Témoin de la présence de Marie dans la vie de l’Église (Unité)";415;6;146
82-UNITE;978-2-491255-38-1;9782491255381;"Neuvaine à Saint Joseph pour la famille - Quantité: Unité";1900;25;161
82-UNITE;978-2-491255-38-1;9782491255381;"Neuvaine à Saint Joseph pour la famille - Quantité: Lot de 5";20;0;0
85-UNITE;978-2-491255-40-4;9782491255404;"Neuvaine à saint Louis-Marie Grignion de Montfort (Unité)";2075;7;74
190-UNITE;978-2-487056-02-2;9782487056022;"Neuvaine à sainte Joséphine Bakhita (Unité)";380;59;336
225-UNITE;978-2-487056-10-7;9782487056107;"Neuvaine à Sainte Rita (Unité)";457;63;831
147-UNITE;;;"Neuvaine à Saints Louis et Zélie Martin (Unité)";0;0;0
172-UNITE;978-2-487056-00-8;9782487056008;"Neuvaine à Soeur Joséfa Menendèz - Quantité: Unité";244;17;60
172-UNITE;978-2-487056-00-8;9782487056008;"Neuvaine à Soeur Joséfa Menendèz - Quantité: Lot de 5";15;0;0
130-UNITE;978-2-491255-69-5;9782491255695;"Neuvaine à St Joseph pour préparer Noël en méditant les mystères de l'Avent (Unité)";630;0;116
217-UNITE;978-2-487056-09-1;9782487056091;"Neuvaine à Thomas d'Aquin avec la Vierge Marie (Unité)";546;3;224
268-UNITE;;;"Neuvaine au bienheureux père Daniel Brottier (Unité)";0;0;0
117-UNITE;978-2-491255-63-3;9782491255633;"Neuvaine au Coeur Immaculé de Marie - Quantité: Unité";739;22;260
117-UNITE;978-2-491255-63-3;9782491255633;"Neuvaine au Coeur Immaculé de Marie - Quantité: Lot de 5";20;0;0
162-UNITE;978-2-491255-93-0;9782491255930;"Neuvaine au Curé d'Ars (Unité)";476;12;335
216-UNITE;978-2-487056-08-4;9782487056084;"Neuvaine au précieux sang de Jésus (Unité)";416;39;489
87-UNITE;978-2-491255-33-6;9782491255336;"Neuvaine au Sacré-Cœur de Jésus pour la guérison de toutes les maladies - Quantité: Unité";129;31;175
87-UNITE;978-2-491255-33-6;9782491255336;"Neuvaine au Sacré-Cœur de Jésus pour la guérison de toutes les maladies - Quantité: Lot de 5";14;0;1
86-UNITE;978-2-491255-39-8;9782491255398;"Neuvaine au Saint-Esprit avec Marie (Unité)";1610;29;482
104-UNITE;978-2-491255-59-6;9782491255596;"Neuvaine de préparation pour se consacrer aux Cœurs Unis (Unité)";439;7;151
141-UNITE;978-2-491255-76-3;9782491255763;"Neuvaine intégrale Marie qui défait les noeuds reliée et enluminée - Quantité: Unité";471;67;376
141-UNITE;978-2-491255-76-3;9782491255763;"Neuvaine intégrale Marie qui défait les noeuds reliée et enluminée - Quantité: Lot de 3";15;0;5
165-UNITE;978-2-491255-54-1;9782491255541;"Neuvaine Marie qui défait les noeuds pour le travail (Unité)";204;99;720
218-UNITE;;;"Neuvaine Marie qui défait les noeuds _ version enfant (Unité)";0;0;0
123-UNITE;978-2-491255-55-8;9782491255558;"Neuvaine Marie qui défait les nœuds de la maladie - Version 2022 (Unité)";396;146;1547
122-UNITE;978-2-491255-53-4;9782491255534;"Neuvaine Marie qui défait les nœuds pour la famille - Version 2022 (Unité)";72;8;614
169-UNITE;978-2-491255-98-5;9782491255985;"Neuvaine Marie qui défait les nœuds pour les couples (Unité)";2288;79;752
189-UNITE;978-2-487056-01-5;9782487056015;"Neuvaine pour l'unité des Chrétiens - Quantité: Unité";360;2;24
189-UNITE;978-2-487056-01-5;9782487056015;"Neuvaine pour l'unité des Chrétiens - Quantité: Lot de 5";20;0;0
37-UNITE;978-2-35689-086-3;9782356890863;"Neuvaine pour la famille - Marie qui défait les nœuds (Unité)";-4;0;0
36-UNITE;978-2-35689-084-9;9782356890849;"Neuvaine pour le travail - Marie qui défait les nœuds (Unité)";264;0;8
42-UNITE;978-2-35689-085-6;9782356890856;"Neuvaine pour les malades - Marie qui défait les nœuds (Unité)";-5;0;0
107-UNITE;978-2-491255-60-2;9782491255602;"Neuvaine pour méditer l'Annonciation (Unité)";392;1;29
134-UNITE;978-2491255-70-1;9782491255701;"Neuvaine Prions Marie pour la paix - Quantité: Unité";982;30;51
134-UNITE;978-2491255-70-1;9782491255701;"Neuvaine Prions Marie pour la paix - Quantité: Lot de 5";19;0;1
81-UNITE;978-2-491255-35-0;9782491255350;"Neuvaine sur les pas de Bernadette pour redire « oui » à Dieu avec Marie (Unité)";4495;63;198
243-UNITE;978-35389-488-8;9782353894888;"Notre Dame de Guadalupe (Unité)";11;2;14
60-UNITE;978-2-35689-015-3;9782356890153;"Notre Dame qui défait les nœuds - Le cadeau du pape François au monde (Unité)";368;13;65
84-UNITE;978-2-491255-34-3;9782491255343;"Notre Histoire avec Marie (Unité)";140;8;110
167-UNITE;978-2-487056-43-5;9782487056435;"Notre Histoire avec Marie_nouvelle version Notre Dame - Quantité: Lot de 3";115;0;33
167-UNITE;978-2-487056-43-5;9782487056435;"Notre Histoire avec Marie_nouvelle version Notre Dame - Quantité: Unité";912;17;546
211-UNITE;978-2-7403-1786-0;9782740317860;"Notre-Dame du Mont Carmel et son scapulaire (Unité)";0;0;0
DON;;;"Nous diffusons gratuitement nos livrets missionnaires. Pouvez-vous nous aider dans cette œuvre d’évangélisation par un don ? (Unité)";999948;0;52
71-UNITE;978-235689-001-6;9782356890016;"Novena a Maria che scioglie i nodi (IT) (Unité)";1651;4;157
204-UNITE;978-2-7403-2520-9;9782740325209;"Oeuvres complètes de St Louis-Marie Grignion de Montfort (Unité)";7;0;0
267-PACK1000RC;;;"Pack Magazines 1000 raisons de croire n°6 et n°7 (Unité)";6;8;66
259-PACKBD;;;"Pack missionnaire 7 bandes dessinées ""1000 raisons de croire"" + 50 livrets missionnaires offerts (Unité)";7;0;8
64-LOT10;;;"Pack of 10 bookmarks (EN) (Unité)";72;0;2
54-LOT10;978-2-35689-012-2;9782356890122;"Paquet de 10 signets Marie qui défait les nœuds (Unité)";2;0;0
63-LOT10;;;"Paquete de diez ejemplares ""Maria, desata de nudos"" (ES) (Unité)";89;0;0
239-UNITE;9782353890378;9782353890378;"Parle-moi de Marie (Arrêt commercial) (Unité)";0;0;0
206-UNITE;978-2-7403-2251-2;9782740322512;"Paroles de Marie.....Paroles de Jésus ! (Unité)";0;0;3
244-UNITE;978-2-38433-124-6;9782384331246;"Pluie de roses (Unité)";7;0;19
75-UNITE;;;"Porte-clef Marie qui défait les nœuds (Unité)";0;0;0
68-UNITE;;;"Postal ""Maria escucha mis ruegos"" (ES) (Unité)";939;0;0
67-UNITE;;;"Postcard ""Mary Hear my Prayer"" (EN) (Unité)";812;0;11
221-UNITE;979-10-336-1497-5;9791033614975;"Pourquoi la vierge Marie agit dans le monde aujourd'hui (Unité)";38;1;10
184-UNITE;978-2-7067-08-29-9;9782706708299;"Présence de Marie (Unité)";38;0;3
192-UNITE;0710497232234;0710497232234;"Puzzle Marie qui défait les Noeuds (Unité)";64;8;141
159-UNITE;;;"Réponse à Jean Staune ?? (Unité)";0;0;0
194-UNITE;978-2-36463-158-8;9782364631588;"Rosaire de la vierge Marie en l'honneur du Saint Pape Jean Paul II (Unité)";28;0;4
238-UNITE;978-2-35389-606-6;9782353896066;"Saint Louis-Marie Grignion de Montfort (Unité)";5;4;16
65-LOT10;;;"Segnalibro Confezione di 10 esemplari (IT) (Unité)";97;0;0
224-UNITE;978-2-487056-15-2;9782487056152;"Setbon - racines juives de l’incarnation (Unité)";0;0;0
155-UNITE;978-2-491255-82-4;9782491255824;"Signet à la Miséricorde Divine - Quantité: Unité";17;2;37
155-UNITE;978-2-491255-82-4;9782491255824;"Signet à la Miséricorde Divine - Quantité: Lot de 10 (-50%)";115;8;49
151-UNITE;978-2-491255-84-8;9782491255848;"Signet Marie qui défait les Noeuds ""Nouvelle version"" - Quantité: Unité";19929;4;38
151-UNITE;978-2-491255-84-8;9782491255848;"Signet Marie qui défait les Noeuds ""Nouvelle version"" - Quantité: Lot de 10 (-50%)";4;1;69
116-UNITE;978-2-491255-51-0;9782491255510;"Soyez rationnel, devenez catholique - Quantité: Unité";86;221;1016
116-UNITE;978-2-491255-51-0;9782491255510;"Soyez rationnel, devenez catholique - Quantité: Lot de 3";7;0;3
152-UNITE;978-2-491255-86-2;9782491255862;"Soyez rationnel, devenez catholique ""Edition abrégée"" - Quantité: Unité";504;100;529
152-UNITE;978-2-491255-86-2;9782491255862;"Soyez rationnel, devenez catholique ""Edition abrégée"" - Quantité: Lot de 4";8;0;7
191-UNITE;978-2-487056-64-0;9782487056640;"Soyez rationnel, devenez catholique_version missionnaire - Quantité: Unité";247;47;47
191-UNITE;978-2-487056-64-0;9782487056640;"Soyez rationnel, devenez catholique_version missionnaire - Quantité: Lot de 10";3;1;1
191-UNITE;978-2-487056-64-0;9782487056640;"Soyez rationnel, devenez catholique_version missionnaire - Quantité: Lot de 50";3;0;0
277-UNITE;978-2-36526-388-7;9782365263887;"Soyons saints_Méthode pour ne pas gâcher sa vie (Unité)";85;4;14
48-UNITE;;;"Statue Marie qui défait les nœuds - 22 cm (Unité)";0;0;2
74-UNITE;;;"Statuette Marie qui défait les nœuds - 11,5cm (Unité)";24;1;26
248-UNITE;978-2-487056-24-4;9782487056244;"Thérèse de Lisieux et vous ""Je suis ta sœur et ton amie"" - Quantité: Lot de 10 (-30%)";34;3;154
248-UNITE;978-2-487056-24-4;9782487056244;"Thérèse de Lisieux et vous ""Je suis ta sœur et ton amie"" - Quantité: Unité";1554;164;2891
154-UNITE;978-2-491255-88-6;9782491255886;"Traité de la vraie dévotion à la Sainte Vierge - Quantité: Lot de 4";6;0;4
154-UNITE;978-2-491255-88-6;9782491255886;"Traité de la vraie dévotion à la Sainte Vierge - Quantité: Unité";60;158;679
179-UNITE;979-10-336-1256-8;9791033612568;"Trésors de la spiritualité chrétienne: la Vierge Marie (Unité)";59;0;2
108-UNITE;;;"Unité - Flyers 100 étoiles (Unité)";0;0;0
E-MAG1000RC06;;;"Version numérique_Magazine 1000 raisons de croire n°6 (Unité)";199;0;2
E-167;;;"Version numérique_Notre Histoire avec Marie (Unité)";9999;0;0
178-UNITE;978-2-385500-35-1;9782385500351;"Vie intérieure de la très sainte Vierge (Unité)";18;0;17
