"Référence Produit";ISBN;"Nom Produit";"Quantité en Stock";"Quantité Vendue January 2025";"Quantité Vendue 01 Feb 2024 - 31 Jan 2025XXX"
176-UNITE;979-10-94998-85-4;"Bernadette et Lourdes _ L'enquête (Unité)";68;0;11
136-UNITE;978-2-491255-68-8;"Bernadette ne nous a pas trompés (Unité)";252;0;48
128-UNITE;;"Bougie de neuvaine Marie qui défait les noeuds - Quantité: Unité";152;6;54
128-UNITE;;"Bougie de neuvaine Marie qui défait les noeuds - Quantité: Lot de 6";8;0;3
113-UNITE;;"Bougies 100 étoiles pour Marie - Quantité: Lot de 4";9;0;4
113-UNITE;;"Bougies 100 étoiles pour Marie - Quantité: Unité";228;0;31
168-UNITE;978-2-491255-97-8;"Calendrier de l'Avent Marie qui défait les Noeuds - Quantité: Unité";1152;28;136
168-UNITE;978-2-491255-97-8;"Calendrier de l'Avent Marie qui défait les Noeuds - Quantité: Lot de 5";12;0;3
188-UNITE;370-0-00-027160-4;"Calendrier de Neuvaine à Saint Joseph pour la famille (Unité)";1;0;9
186-UNITE;370-0-00-027505-3;"Calendrier de neuvaine à saint Louis et sainte Zélie Martin (Unité)";35;0;5
187-UNITE;370-0-00-027280-9;"Calendrier de neuvaine à Sainte Marie-Madeleine apôtre des apôtres (Unité)";0;0;5
222-UNITE;;"Calendrier de neuvaine au Bienheureux Carlo Acutis (Unité)";2;1;29
114-UNITE;;"Carte image Marie qui défait les Noeuds - Quantité: Lot de 10 (-30%)";202;0;14
114-UNITE;;"Carte image Marie qui défait les Noeuds - Quantité: Unité";9485;0;1887
114-UNITE;;"Carte image Marie qui défait les Noeuds - Quantité: Lot de 20";60;0;136
52-UNITE;978-2-35689-005-4;"Carte postale (Unité)";0;1;24
126-UNITE;;"Carte postale aux Coeurs Unis (Unité)";0;0;0
156-UNITE;978-2-491255-83-1;"Carte postale Marie qui défait les Noeuds - Nouvelle version - Quantité: Lot de 10 (-30%)";80;1;166
156-UNITE;978-2-491255-83-1;"Carte postale Marie qui défait les Noeuds - Nouvelle version - Quantité: Unité";1;0;122
150-UNITE;978-2-491255-89-3;"Carte postale Marie qui défait les Noeuds - Version originale - Quantité: Unité";35;2;42
150-UNITE;978-2-491255-89-3;"Carte postale Marie qui défait les Noeuds - Version originale - Quantité: Lot de 10 (-30%)";203;1;59
69-UNITE;;"Cartoloina Maria che scioglie i nodi (IT) (Unité)";851;0;0
56-UNITE;376-0-13237-798-8;"CD - prier le chapelet (Unité)";114;0;24
120-UNITE;;"Chapelet blanc en nylon (Unité)";72;11;85
47-UNITE;978-2-35689-010-8;"Chapelet en bois verni (Unité)";1;0;47
258-PACK1000RC;;"Collection des 5 premiers magazines 1000 raisons de croire (Unité)";27;28;69
269-UNITE;978-2-487056-58-9;"Comment prier le chapelet (Unité)";0;0;0
215-UNITE;978-2-7403-1260-5;"Dieu est Amour (grands caractères)_encyclique de Benoît XVI (Unité)";27;0;13
223-UNITE;978-2266339-32-2;"Dieu la Science, les preuves _ Version poche (Unité)";184;7;215
109-UNITE;978-2-813225-85-6;"Dieu, la Science, les preuves (Unité)";123;1;47
44-UNITE;978-2-35689-000-9;"Edition Collector _lot de 10 neuvaines à Marie qui défait les noeuds - Quantité: Lot de 10";50;0;0
103-GRATUIT;978-2-491255-58-9;"EDITION GRATUITE - La Vocation de la France - Servir les cœurs unis de Jésus et Marie (Unité)";1776;0;1
90-GRATUIT;978-2-491255-42-8;"EDITION GRATUITE Joseph, modèle de vie - Si important pour notre temps (Unité)";2388;0;14
89-GRATUIT;978-2-491255-22-0;"EDITION GRATUITE Le Linceul de Turin - Nouvelle preuve de la Résurrection du Christ (Unité)";782;0;514
91-GRATUIT;978-2-491255-17-6;"EDITION GRATUITE Lumière du Monde - La beauté de l'Église et le génie catholique (Unité)";4437;0;411
95-GRATUIT;978-2-4912554-7-3;"EDITION GRATUITE Maria Valtorta - Confirmation par la science (Unité)";330;0;710
98-GRATUIT;978-2-491255-43-5;"EDITION GRATUITE Marie et la France - Un lien extraordinaire à redécouvrir (Unité)";2047;0;336
144-GRATUIT;978-2-491255-24-4;"EDITION GRATUITE Marie et la France -Edition Notre Dame de Paris (Unité)";191;0;0
112-GRATUIT;978-2-491255-61-9;"EDITION GRATUITE Neuvaine de préparation pour se consacrer aux Cœurs Unis (Unité)";0;0;0
164-GRATUIT;978-2-491255-95-4;"EDITION GRATUITE Neuvaine Marie qui défait les noeuds (Unité)";15167;0;2497
139-UNITE;978-2-491255-74-9;"Et si c'était vrai ? La foi chrétienne à la loupe - Quantité: Unité";753;43;146
139-UNITE;978-2-491255-74-9;"Et si c'était vrai ? La foi chrétienne à la loupe - Quantité: Lot de 3";13;0;2
106-UNITE;;"Flyers 100 étoiles - Quantité flyers: Paquet de 10";0;0;0
106-UNITE;;"Flyers 100 étoiles - Quantité flyers: Paquet de 50";0;0;0
143-UNITE;;"Grande Bougie Marie qui défait les noeuds 18 cm (Unité)";0;0;0
62-UNITE;;"Grande Médaille dorée Marie qui défait les Nœuds - 30 mm (Unité)";114;3;25
160-UNITE;;"Il n'y a aucune erreur doctrinale dans les écrits de Maria Valtorta ? (Unité)";0;0;0
133-UNITE;979-1-0928-0149-1;"J'apprends à parler avec Marie (Unité)";93;3;78
DON;;"Je fais un don pour participer aux actions de la librairie missionnaire (Unité)";999641;116;3070
207-UNITE;978-2-7403-2299-4;"Je vous prépare aux temps nouveaux (Unité)";12;2;59
233-UNITE;978-2-487056-22-0;"Jeanne d'Arc (Unité)";0;0;0
26-UNITE;978-2-9555343-7-3;"Jésus, le Messie attendu par Israël - Selon les prophéties bibliques - Quantité: Unité";2670;9;330
26-UNITE;978-2-9555343-7-3;"Jésus, le Messie attendu par Israël - Selon les prophéties bibliques - Quantité: Lot de 10 (-30%)";474;0;3
220-UNITE;979-10-336-1493-7;"Joseph de Nazareth (Unité)";87;0;12
23-UNITE;978-2-491255-27-5;"Joseph, modèle de vie - Si important pour notre temps - Quantité: Unité";2253;5;149
23-UNITE;978-2-491255-27-5;"Joseph, modèle de vie - Si important pour notre temps - Quantité: Lot de 10 (-30%)";217;0;4
119-KIT;;"Kit consécration 100 étoiles (Unité)";0;0;0
129-KIT;;"Kit Merci Marie (Unité)";440;0;63
208-UNITE;978-2-7403-2158-4;"L'apparition de la Très Sainte Vierge sur la Montagne de la Salette (Unité)";12;0;7
245-UNITE;978-2-35389-975-3;"L'art de la prière (Unité)";19;0;11
173-UNITE;979-10-33603-59-7;"L'imitation de la bienheureuse Vierge Marie (Unité)";33;0;17
209-UNITE;978-2-7403-1436-4;"La dévotion réparatrice au Coeur immaculé de Marie (Unité)";0;0;0
203-UNITE;978-2-7403-2506-3;"La folie du Totus Tuus (Unité)";7;0;12
132-UNITE;978-88-7987-391-8;"La Force des Martyrs (Unité)";43;0;19
241-UNITE;9782915313611;"La maternité spirituelle de Marie (Arrêt commercial) (Unité)";0;0;0
174-UNITE;978-2492547010;"La Médaille miraculeuse_Les apparitions de la rue du Bac (Unité)";20;2;35
213-UNITE;9782740323281;"La très belle histoire de l'apparition de Pontmain (Unité)";0;0;13
205-UNITE;978-2-7403-2522-3;"La très belle histoire de la Médaille Miraculeuse (Unité)";0;0;18
212-UNITE;978-2-7403-2407-3;"La très belle histoire de Notre Dame de Pellevoisin (Unité)";4;1;13
214-UNITE;978-2-7403-2434-9;"La très belle histoire de Notre-Dame de Lourdes (Unité)";0;0;16
202-UNITE;978-2-7403-2554-4;"La vie de la Vierge Marie dans l'art (Unité)";17;2;35
219-UNITE;979-10-336-1508-8;"La Vierge de l'apocalypse. Aux portes de Rome, les apparitions de Tre Fontane (Unité)";10;0;39
102-UNITE;978-2-491255-52-7;"La Vocation de la France - Servir les cœurs unis de Jésus et Marie - Quantité: Lot de 10 (-30%)";462;0;2
102-UNITE;978-2-491255-52-7;"La Vocation de la France - Servir les cœurs unis de Jésus et Marie - Quantité: Unité";4451;3;129
242-UNITE;978-2-35389-623-3;"La voie de la Belle Dame (Unité)";27;0;3
29-UNITE;978-2-491255-20-6;"Le Linceul de Turin - Nouvelle preuve de la Résurrection du Christ - Quantité: Unité";59;12;278
29-UNITE;978-2-491255-20-6;"Le Linceul de Turin - Nouvelle preuve de la Résurrection du Christ - Quantité: Lot de 10 (-30%)";279;0;21
53-UNITE;978-2-35689-009-2;"Le livre de Saint Joseph - Le saint du XXIème siècle (Unité)";2905;2;63
229-UNITE;978-2-487056-14-5;"Le plus précieux trésor, découvrir l'Eucharistie (Unité)";0;0;0
40-UNITE;978-2-35689-013-9;"Le Rosaire - Les vingt mystères revisités (Unité)";19;1;65
153-UNITE;978-2-491255-87-9;"Le Rosaire, les 20 mystères revisités - Version 2023 - Quantité: Unité";739;10;29
153-UNITE;978-2-491255-87-9;"Le Rosaire, les 20 mystères revisités - Version 2023 - Quantité: Lot de 3";13;0;2
201-UNITE;978-2-7403-2589-6;"Le témoignage de Mirjana: Mon cœur triomphera (Unité)";26;2;41
210-UNITE;978-2-7403-1217-9;"Les apparitions de Versailles (Unité)";0;0;62
177-UNITE;978-2-38488-032-4;"Les carmélites de Compiègne Martyres de la révolution (Unité)";49;0;15
158-UNITE;978-2-491255-85-5;"Les travers de la zététique _réponse au livre de Thomas Durand (Unité)";60;6;471
35-UNITE;978-2-35689-014-6;"Les vingt mystères de la neuvaine (Unité)";14;13;497
231-UNITE;979-1033614-95-1;"Libre Réponse à Michel Onfray _NON le Christ n'est pas un Mythe (Unité)";11;8;374
118-UNITE;978-2-491255-65-7;"Livret de prière (Unité)";0;0;0
246-GRATUIT;9782487056268;"Livret missionnaire 16 pages version BD : « Il y a 1000 raisons de croire, découvre la tienne ! » - Quantité: Lot de 50";44;13;385
246-GRATUIT;9782487056268;"Livret missionnaire 16 pages version BD : « Il y a 1000 raisons de croire, découvre la tienne ! » - Quantité: Lot de 10";670;59;1157
246-GRATUIT;9782487056268;"Livret missionnaire 16 pages version BD : « Il y a 1000 raisons de croire, découvre la tienne ! » - Quantité: Lot de 100";13;15;437
232-GRATUIT;978-2-491255-94-7;"Livret missionnaire 16 pages version intégrale : « Il y a 1000 raisons de croire en Jésus, et ça change tout ! » - Quantité: Lot de 10";1244;36;1362
232-GRATUIT;978-2-491255-94-7;"Livret missionnaire 16 pages version intégrale : « Il y a 1000 raisons de croire en Jésus, et ça change tout ! » - Quantité: Lot de 50";168;16;486
232-GRATUIT;978-2-491255-94-7;"Livret missionnaire 16 pages version intégrale : « Il y a 1000 raisons de croire en Jésus, et ça change tout ! » - Quantité: Lot de 100";22;22;509
271-LOT25;978-2-487056-60-2;"Lot de 25 cartes prières Carlo Acutis (Unité)";0;0;0
272-LOT25;978-2-487056-61-9;"Lot de 25 cartes prières Image indulgenciée du sacré coeur (Unité)";0;0;0
270-LOT25;;"Lot de 25 cartes prières MQDLN (Unité)";0;0;0
34-LOT5;978-2-35689-011-5;"Lot de 5 livrets - neuvaine à Marie qui défait les nœuds (Unité)";-2;19;84
39-UNITE-5;978-2-35689-086-3;"Lot de 5 livrets - Neuvaine pour la famille - Marie qui défait les nœuds (Unité)";0;0;0
43-UNITE-5;978-2-35689-085-6;"Lot de 5 livrets Neuvaine pour la maladie - Marie qui défait les nœuds (Unité)";0;0;0
38-UNITE-5;978-2-35689-084-9;"Lot de 5 livrets Neuvaine pour le travail - Marie qui défait les nœuds (Unité)";0;0;0
61-LOT5;;"Lot de 5 petites médailles dorées Marie qui défait les Nœuds - 15 mm (Unité)";1;0;7
31-UNITE;978-2-9555343-8-0;"Lumière du Monde - La beauté de l'Église et le génie catholique - Quantité: Unité";1533;5;53
31-UNITE;978-2-9555343-8-0;"Lumière du Monde - La beauté de l'Église et le génie catholique - Quantité: Lot de 10 (-30%)";662;1;6
49-UNITE;978-2-9555343-0-4;"Lumières sur Nazareth  Version Française (Unité)";710;0;6
99-UNITE;9782955534311;"Lumières sur Nazareth Version Anglaise (Unité)";518;0;0
MAG1000RC-01;;"Magazine 1000 raisons de croire Le n°1 _ Si tu existes, envoies-moi un signe ! - Quantité: Unité";1103;31;79
MAG1000RC-01;;"Magazine 1000 raisons de croire Le n°1 _ Si tu existes, envoies-moi un signe ! - Quantité: Lot de 5";20;0;0
MAG1000RC-02;;"Magazine 1000 raisons de croire Le n°2_Les prophéties bibliques enfin décodées ! - Quantité: Unité";2267;31;79
MAG1000RC-02;;"Magazine 1000 raisons de croire Le n°2_Les prophéties bibliques enfin décodées ! - Quantité: Lot de 5";20;0;0
MAG1000RC-03;;"Magazine 1000 raisons de croire Le n°3_Oui, anges et démons existent ! - Quantité: Unité";3179;31;62
MAG1000RC-03;;"Magazine 1000 raisons de croire Le n°3_Oui, anges et démons existent ! - Quantité: Lot de 5";20;0;0
MAG1000RC-04;;"Magazine 1000 raisons de croire Le n°4_Elle s'est manifestée 2400 fois ! - Quantité: Unité";3133;28;60
MAG1000RC-04;;"Magazine 1000 raisons de croire Le n°4_Elle s'est manifestée 2400 fois ! - Quantité: Lot de 5";18;1;1
MAG1000RC-05;;"Magazine 1000 raisons de croire Le n°5_Ils reviennent de l'au-delà ! - Quantité: Unité";3041;28;68
MAG1000RC-05;;"Magazine 1000 raisons de croire Le n°5_Ils reviennent de l'au-delà ! - Quantité: Lot de 5";17;1;3
MAG1000RC-06;;"Magazine 1000 raisons de croire Le n°6_Le miracle de Notre Dame - Quantité: Unité";1774;35;64
MAG1000RC-06;;"Magazine 1000 raisons de croire Le n°6_Le miracle de Notre Dame - Quantité: Lot de 5";18;1;2
MAG1000RC-07;;"Magazine 1000 raisons de croire Le n°7_La grande et unique histoire de la charité - Quantité: Unité";2305;13;13
MAG1000RC-07;;"Magazine 1000 raisons de croire Le n°7_La grande et unique histoire de la charité - Quantité: Lot de 5";29;1;1
135-GRATUIT;;"Magazine Ave Maria - N° Ave Maria: 74 : Les 100 étoiles sont lancées";0;0;17
135-GRATUIT;;"Magazine Ave Maria - N° Ave Maria: 75 : En 2022, centenaire rime aussi avec rosaire";61;10;10
135-GRATUIT;;"Magazine Ave Maria - N° Ave Maria: 76 : Joyeux Noël, «Merci Marie»";291;10;10
135-GRATUIT;;"Magazine Ave Maria - N° Ave Maria: 73 : Marie et Jeanne, les deux patronnes qui veillent sur la France";188;10;21
135-GRATUIT;;"Magazine Ave Maria - N° Ave Maria: 71 : Jésus, fils de Joseph";105;10;21
135-GRATUIT;;"Magazine Ave Maria - N° Ave Maria: 69 : Retrouvons nos racines !";11;10;16
135-GRATUIT;;"Magazine Ave Maria - N° Ave Maria: 68 : France, royaume de Marie !";46;10;20
135-GRATUIT;;"Magazine Ave Maria - N° Ave Maria: 67 : 2021... année de Saint Joseph";6;10;13
135-GRATUIT;;"Magazine Ave Maria - N° Ave Maria: 66 : Elle est passée chez vous !";0;10;19
135-GRATUIT;;"Magazine Ave Maria - N° Ave Maria: 65 : Elle a pris les devants, notre reine !";42;10;24
135-GRATUIT;;"Magazine Ave Maria - N° Ave Maria: 77 : Bernadette ne nous a pas trompés !";309;10;23
135-GRATUIT;;"Magazine Ave Maria - N° Ave Maria: 78 : « Fais-moi connaître »";65;10;24
135-GRATUIT;;"Magazine Ave Maria - N° Ave Maria: 79 : L'Église, notre héritage";98;10;24
135-GRATUIT;;"Magazine Ave Maria - N° Ave Maria: 80 : Publions les merveilles de Dieu !";2;0;0
135-GRATUIT;;"Magazine Ave Maria - N° Ave Maria: 81: La crèche : 800 ans d'histoire et de tradition";292;10;94
135-GRATUIT;;"Magazine Ave Maria - N° Ave Maria: 82 :  Guadalupe, 500 ans de dévotion";574;10;26
135-GRATUIT;;"Magazine Ave Maria - N° Ave Maria: 83 : Le Christ est roi";572;10;28
135-GRATUIT;;"Magazine Ave Maria - N° Ave Maria: 84: Marie, notre mère à tous";196;10;38
135-GRATUIT;;"Magazine Ave Maria - N° Ave Maria: 85: Trois anniversaires pour fêter Sainte Thérèse";19;10;296
135-GRATUIT;;"Magazine Ave Maria - N° Ave Maria: 86 : Le Miracle de Notre-Dame";0;54;191
73-UNITE;978-2-35689-096-2;"Maria desatadora de nudos (ES) (Unité)";189;0;424
80-UNITE;;"Maria Knotenloserin - Karte (DE) (Unité)";901;0;104
79-UNITE;978-2-35689-003-0;"Maria Knotenloserin novene (DE) (Unité)";1270;0;475
94-UNITE;978-2-9555343-6-6;"Maria Valtorta - Confirmation par la science - Quantité: Unité";48;10;175
94-UNITE;978-2-9555343-6-6;"Maria Valtorta - Confirmation par la science - Quantité: Lot de 10 (-30%)";0;0;0
70-UNITE;978-2-35689-000-9;"Maria, Desatadora dos nós (PT) (Unité)";521;0;131
;;"Mariam songs (Unité)";0;0;0
236-UNITE;978-2-38433-152-9;"Marie d'ici et d'ailleurs (Unité)";28;0;2
197-UNITE;978-2-7289-1983-3;"Marie de Nazareth (Unité)";13;0;12
183-UNITE;978-2-7067-2085-7;"Marie des écritures (Unité)";43;0;2
76-UNITE;978-2-35689-004-7;"Marie die de knopen ontwart (NL) (Unité)";0;0;0
250-UNITE;978-2-487056-42-8;"Marie et la France *Edition Notre Dame* - Quantité: Unité";576;412;469
250-UNITE;978-2-487056-42-8;"Marie et la France *Edition Notre Dame* - Quantité: Lot de 10";27;0;12
21-UNITE;978-2-491255-29-9;"Marie et la France - Un lien extraordinaire à redécouvrir - Quantité: Unité";32;5;191
21-UNITE;978-2-491255-29-9;"Marie et la France - Un lien extraordinaire à redécouvrir - Quantité: Lot de 10 (-30%)";157;0;4
240-UNITE;9782915313598;"Marie et nos épreuves (Arrêt commercial) (Unité)";0;0;0
273-UNITE;978-2-487056-62-6;"Marie qui défait les noeuds : la neuvaine originale avec le tableau original (Unité)";0;0;0
115-UNITE;978-2-491255-62-6;"Marie qui défait les noeuds, d'un miracle à une dévotion (Unité)";1443;5;184
230-UNITE;978-2-487056-21-3;"Marie qui défait les noeuds_le tableau ! (Unité)";76;2;25
55-UNITE;978-2-35689-087-0;"Marie qui défait les nœuds - Neuvaine intégrale, avec les citations bibliques (Unité)";0;0;0
97-UNITE;978-2-491255-50-3;"Marie qui défait les nœuds - Neuvaine intégrale, avec les citations bibliques - Quantité: Unité";393;30;225
97-UNITE;978-2-491255-50-3;"Marie qui défait les nœuds - Neuvaine intégrale, avec les citations bibliques - Quantité: Lot de 3";20;0;0
180-UNITE;978-2-36040-597-8;"Marie, mon secret (Unité)";0;1;34
72-UNITE;978-2-23568-990-8;"Mary who unties knots  (chinese version) (Unité)";0;0;99
78-UNITE;978-2-35689-002-3;"Mary who Unties Knots (EN) (Unité)";0;185;521
200-UNITE;;"Médaille Miraculeuse en aluminium blanc (Unité)";22;0;45
199-UNITE;;"Médaille Miraculeuse en aluminium couleur or (Unité)";24;6;114
181-UNITE;978-2-7067-0501-4;"Méditations sur Marie (arrêt commercial) (Unité)";-2;0;16
193-UNITE;979-10-336-1459-3;"Méditer la parole avec la Vierge Marie (Unité)";135;2;47
124-UNITE;978-2-491255-67-1;"Neuvaine à l'Archange Saint Michel (Unité)";167;48;739
121-UNITE;978-2-491255-66-4;"Neuvaine à l'Immaculée avec Maximilien Kolbe (Unité)";721;3;50
100-UNITE;978-2-491255-48-0;"Neuvaine à l'Immaculée Conception (Unité)";335;28;137
146-UNITE;978-2-491255-78-7;"Neuvaine à la Miséricorde Divine (Unité)";231;17;388
228-UNITE;978-2-487056-20-6;"Neuvaine à la Vierge de l'Assomption (édition reportée) (Unité)";0;0;0
92-UNITE;978-2-491255-45-9;"Neuvaine à la Vierge Marie avec la petite Thérèse (Unité)";1230;4;557
226-UNITE;978-2-487056-11-4;"Neuvaine à Marie avec soeur Emmanuel de Medjugorje (Unité)";475;6;333
140-UNITE;978-2-491255-72-5;"Neuvaine à Marie qui défait les noeuds - Version originale 2022 (Unité)";774;303;6616
195-UNITE;;"Neuvaine à Marie qui Défait les Nœuds - pack complet avec Bougie de Neuvaine (Unité)";12;2;59
198-UNITE;;"Neuvaine à Marie qui Défait les Nœuds édition reliée et enluminée - pack complet avec Bougie de Neuvaine (Unité)";18;3;98
142-UNITE;978-2-491255-77-0;"Neuvaine à Marie Reine des Coeurs (Unité)";418;3;100
260-UNITE;978-2-487056-54-1;"Neuvaine à Marie, refuge des pêcheurs - Quantité: Unité";418;10;16
260-UNITE;978-2-487056-54-1;"Neuvaine à Marie, refuge des pêcheurs - Quantité: Lot de 5";30;0;0
170-UNITE;978-2-491255-99-2;"Neuvaine à Notre Dame de Guadalupe (Unité)";478;57;352
131-UNITE;978-2-491255-71-8;"Neuvaine à Notre Dame de la Médaille Miraculeuse - Quantité: Unité";333;5;55
131-UNITE;978-2-491255-71-8;"Neuvaine à Notre Dame de la Médaille Miraculeuse - Quantité: Lot de 5";18;1;1
101-UNITE;978-2-491255-56-5;"Neuvaine à Notre Dame de Pontmain pour soutenir l'Espérance - Quantité: Unité";402;201;244
101-UNITE;978-2-491255-56-5;"Neuvaine à Notre Dame de Pontmain pour soutenir l'Espérance - Quantité: Lot de 5";19;0;0
88-UNITE;978-2-491255-41-1;"Neuvaine à Notre Dame du Mont-Carmel avec les saints du Carmel (Unité)";1676;0;69
96-UNITE;978-2-491255-49-7;"Neuvaine à Notre Dame Libératrice du Sanctuaire de Montligeon (Unité)";197;150;474
148-UNITE;978-2-491255-81-7;"Neuvaine à Padre Pio (Unité)";303;11;430
145-UNITE;978-2-491255-79-4;"Neuvaine à Saint Antoine de Padoue (Unité)";323;9;247
227-UNITE;978-2-487056-19-0;"Neuvaine à Saint Charbel (Unité)";454;49;837
182-UNITE;978-2-491255-80-0;"Neuvaine à Saint Jean Paul II _Témoin de la présence de Marie dans la vie de l’Église (Unité)";421;9;151
82-UNITE;978-2-491255-38-1;"Neuvaine à Saint Joseph pour la famille - Quantité: Unité";1889;6;8
82-UNITE;978-2-491255-38-1;"Neuvaine à Saint Joseph pour la famille - Quantité: Lot de 5";20;0;0
85-UNITE;978-2-491255-40-4;"Neuvaine à saint Louis-Marie Grignion de Montfort (Unité)";2079;1;86
190-UNITE;978-2-487056-02-2;"Neuvaine à sainte Joséphine Bakhita (Unité)";384;6;849
225-UNITE;978-2-487056-10-7;"Neuvaine à Sainte Rita (Unité)";477;22;626
147-UNITE;;"Neuvaine à Saints Louis et Zélie Martin (Unité)";0;0;0
172-UNITE;978-2-487056-00-8;"Neuvaine à Soeur Joséfa Menendèz - Quantité: Unité";247;1;22
172-UNITE;978-2-487056-00-8;"Neuvaine à Soeur Joséfa Menendèz - Quantité: Lot de 5";15;0;0
130-UNITE;978-2-491255-69-5;"Neuvaine à St Joseph pour préparer Noël en méditant les mystères de l'Avent (Unité)";632;19;137
217-UNITE;978-2-487056-09-1;"Neuvaine à Thomas d'Aquin avec la Vierge Marie (Unité)";550;8;512
268-UNITE;;"Neuvaine au bienheureux père Daniel Brottier (Unité)";0;0;0
117-UNITE;978-2-491255-63-3;"Neuvaine au Coeur Immaculé de Marie - Quantité: Unité";759;208;208
117-UNITE;978-2-491255-63-3;"Neuvaine au Coeur Immaculé de Marie - Quantité: Lot de 5";20;0;0
162-UNITE;978-2-491255-93-0;"Neuvaine au Curé d'Ars (Unité)";479;4;302
216-UNITE;978-2-487056-08-4;"Neuvaine au précieux sang de Jésus (Unité)";427;14;839
87-UNITE;978-2-491255-33-6;"Neuvaine au Sacré-Cœur de Jésus pour la guérison de toutes les maladies - Quantité: Unité";153;8;66
87-UNITE;978-2-491255-33-6;"Neuvaine au Sacré-Cœur de Jésus pour la guérison de toutes les maladies - Quantité: Lot de 5";14;0;1
86-UNITE;978-2-491255-39-8;"Neuvaine au Saint-Esprit avec Marie (Unité)";1626;6;773
104-UNITE;978-2-491255-59-6;"Neuvaine de préparation pour se consacrer aux Cœurs Unis (Unité)";445;3;132
141-UNITE;978-2-491255-76-3;"Neuvaine intégrale Marie qui défait les noeuds reliée et enluminée - Quantité: Unité";528;25;145
141-UNITE;978-2-491255-76-3;"Neuvaine intégrale Marie qui défait les noeuds reliée et enluminée - Quantité: Lot de 3";19;0;1
165-UNITE;978-2-491255-54-1;"Neuvaine Marie qui défait les noeuds pour le travail (Unité)";233;27;743
218-UNITE;;"Neuvaine Marie qui défait les noeuds _ version enfant (Unité)";0;0;0
123-UNITE;978-2-491255-55-8;"Neuvaine Marie qui défait les nœuds de la maladie - Version 2022 (Unité)";775;51;1258
122-UNITE;978-2-491255-53-4;"Neuvaine Marie qui défait les nœuds pour la famille - Version 2022 (Unité)";133;5;1060
