"Référence Produit";ISBN;"Nom Produit";"Quantité en Stock";"Quantité Vendue April 2025";"Quantité Vendue 01 May 2024 - 30 Apr 2025XXX"
128-UNITE;;"Bougie de neuvaine Marie qui défait les noeuds - Quantité: Lot de 6";7;0;4
113-UNITE;;"Bougies 100 étoiles pour Marie - Quantité: Lot de 4";4;0;9
113-UNITE;;"Bougies 100 étoiles pour Marie - Quantité: Unité";196;0;23
168-UNITE;978-2-491255-97-8;"Calendrier de l'Avent Marie qui défait les Noeuds - Quantité: Unité";1152;0;136
168-UNITE;978-2-491255-97-8;"Calendrier de l'Avent Marie qui défait les Noeuds - Quantité: Lot de 5";12;0;3
188-UNITE;370-0-00-027160-4;"Calendrier de Neuvaine à Saint Joseph pour la famille (Unité)";0;0;0
186-UNITE;370-0-00-027505-3;"Calendrier de neuvaine à saint Louis et sainte Zélie Martin (Unité)";35;0;1
187-UNITE;370-0-00-027280-9;"Calendrier de neuvaine à Sainte Marie-Madeleine apôtre des apôtres (Unité)";0;0;0
222-UNITE;;"Calendrier de neuvaine au Bienheureux Carlo Acutis (Unité)";2;0;15
114-UNITE;;"Carte image Marie qui défait les Noeuds - Quantité: Lot de 10 (-30%)";202;0;14
114-UNITE;;"Carte image Marie qui défait les Noeuds - Quantité: Unité";9484;0;335
114-UNITE;;"Carte image Marie qui défait les Noeuds - Quantité: Lot de 20";59;0;126
52-UNITE;978-2-35689-005-4;"Carte postale (Unité)";0;0;24
126-UNITE;;"Carte postale aux Coeurs Unis (Unité)";0;0;0
156-UNITE;978-2-491255-83-1;"Carte postale Marie qui défait les Noeuds - Nouvelle version - Quantité: Lot de 10 (-30%)";76;0;146
156-UNITE;978-2-491255-83-1;"Carte postale Marie qui défait les Noeuds - Nouvelle version - Quantité: Unité";29;0;86
150-UNITE;978-2-491255-89-3;"Carte postale Marie qui défait les Noeuds - Version originale - Quantité: Unité";11;20;52
150-UNITE;978-2-491255-89-3;"Carte postale Marie qui défait les Noeuds - Version originale - Quantité: Lot de 10 (-30%)";201;0;48
69-UNITE;;"Cartoloina Maria che scioglie i nodi (IT) (Unité)";851;0;0
56-UNITE;376-0-13237-798-8;"CD - prier le chapelet (Unité)";114;0;22
120-UNITE;;"Chapelet blanc en nylon (Unité)";54;1;79
47-UNITE;978-2-35689-010-8;"Chapelet en bois verni (Unité)";0;0;29
258-PACK1000RC;;"Collection des 5 premiers magazines 1000 raisons de croire (Unité)";0;35;141
215-UNITE;978-2-7403-1260-5;"Dieu est Amour (grands caractères)_encyclique de Benoît XVI (Unité)";27;0;9
223-UNITE;978-2266339-32-2;"Dieu la Science, les preuves _ Version poche (Unité)";169;6;123
109-UNITE;978-2-813225-85-6;"Dieu, la Science, les preuves (Unité)";115;3;48
44-UNITE;978-2-35689-000-9;"Edition Collector _lot de 10 neuvaines à Marie qui défait les noeuds - Quantité: Lot de 10";7;6;39
103-GRATUIT;978-2-491255-58-9;"EDITION GRATUITE - La Vocation de la France - Servir les cœurs unis de Jésus et Marie (Unité)";1756;20;20
90-GRATUIT;978-2-491255-42-8;"EDITION GRATUITE Joseph, modèle de vie - Si important pour notre temps (Unité)";2288;20;113
89-GRATUIT;978-2-491255-22-0;"EDITION GRATUITE Le Linceul de Turin - Nouvelle preuve de la Résurrection du Christ (Unité)";782;0;512
91-GRATUIT;978-2-491255-17-6;"EDITION GRATUITE Lumière du Monde - La beauté de l'Église et le génie catholique (Unité)";4337;20;418
95-GRATUIT;978-2-4912554-7-3;"EDITION GRATUITE Maria Valtorta - Confirmation par la science (Unité)";310;20;729
98-GRATUIT;978-2-491255-43-5;"EDITION GRATUITE Marie et la France - Un lien extraordinaire à redécouvrir (Unité)";1947;20;434
144-GRATUIT;978-2-491255-24-4;"EDITION GRATUITE Marie et la France -Edition Notre Dame de Paris (Unité)";191;0;0
112-GRATUIT;978-2-491255-61-9;"EDITION GRATUITE Neuvaine de préparation pour se consacrer aux Cœurs Unis (Unité)";0;0;0
164-GRATUIT;978-2-491255-95-4;"EDITION GRATUITE Neuvaine Marie qui défait les noeuds (Unité)";14892;25;1405
139-UNITE;978-2-491255-74-9;"Et si c'était vrai ? La foi chrétienne à la loupe - Quantité: Unité";740;5;205
139-UNITE;978-2-491255-74-9;"Et si c'était vrai ? La foi chrétienne à la loupe - Quantité: Lot de 3";11;0;2
106-UNITE;;"Flyers 100 étoiles - Quantité flyers: Paquet de 10";0;0;0
106-UNITE;;"Flyers 100 étoiles - Quantité flyers: Paquet de 50";0;0;0
143-UNITE;;"Grande Bougie Marie qui défait les noeuds 18 cm (Unité)";0;0;0
62-UNITE;;"Grande Médaille dorée Marie qui défait les Nœuds - 30 mm (Unité)";95;1;24
160-UNITE;;"Il n'y a aucune erreur doctrinale dans les écrits de Maria Valtorta ? (Unité)";0;0;0
133-UNITE;979-1-0928-0149-1;"J'apprends à parler avec Marie (Unité)";87;4;78
DON;;"Je fais un don pour participer aux actions de la librairie missionnaire (Unité)";999455;75;2966
207-UNITE;978-2-7403-2299-4;"Je vous prépare aux temps nouveaux (Unité)";12;0;44
233-UNITE;978-2-487056-22-0;"Jeanne d'Arc (Unité)";0;0;0
26-UNITE;978-2-9555343-7-3;"Jésus, le Messie attendu par Israël - Selon les prophéties bibliques - Quantité: Unité";2650;6;327
26-UNITE;978-2-9555343-7-3;"Jésus, le Messie attendu par Israël - Selon les prophéties bibliques - Quantité: Lot de 10 (-30%)";474;0;3
220-UNITE;979-10-336-1493-7;"Joseph de Nazareth (Unité)";86;0;9
23-UNITE;978-2-491255-27-5;"Joseph, modèle de vie - Si important pour notre temps - Quantité: Unité";2239;3;136
23-UNITE;978-2-491255-27-5;"Joseph, modèle de vie - Si important pour notre temps - Quantité: Lot de 10 (-30%)";215;0;4
119-KIT;;"Kit Consécration (Unité)";14;0;0
278-KIT;;"Kit Marie qui défait les Noeuds_Faire un autel chez soi (Unité)";14;1;1
129-KIT;;"Kit Merci Marie (Unité)";440;0;63
208-UNITE;978-2-7403-2158-4;"L'apparition de la Très Sainte Vierge sur la Montagne de la Salette (Unité)";12;0;6
245-UNITE;978-2-35389-975-3;"L'art de la prière (Unité)";18;1;12
173-UNITE;979-10-33603-59-7;"L'imitation de la bienheureuse Vierge Marie (Unité)";32;0;11
209-UNITE;978-2-7403-1436-4;"La dévotion réparatrice au Coeur immaculé de Marie (Unité)";0;0;0
203-UNITE;978-2-7403-2506-3;"La folie du Totus Tuus (Unité)";7;0;5
132-UNITE;978-88-7987-391-8;"La Force des Martyrs (Unité)";41;1;16
241-UNITE;9782915313611;"La maternité spirituelle de Marie (Arrêt commercial) (Unité)";0;0;0
174-UNITE;978-2492547010;"La Médaille miraculeuse_Les apparitions de la rue du Bac (Unité)";16;2;35
213-UNITE;9782740323281;"La très belle histoire de l'apparition de Pontmain (Unité)";0;0;12
205-UNITE;978-2-7403-2522-3;"La très belle histoire de la Médaille Miraculeuse (Unité)";0;0;10
212-UNITE;978-2-7403-2407-3;"La très belle histoire de Notre Dame de Pellevoisin (Unité)";3;1;12
214-UNITE;978-2-7403-2434-9;"La très belle histoire de Notre-Dame de Lourdes (Unité)";0;0;12
202-UNITE;978-2-7403-2554-4;"La vie de la Vierge Marie dans l'art (Unité)";15;1;31
219-UNITE;979-10-336-1508-8;"La Vierge de l'apocalypse. Aux portes de Rome, les apparitions de Tre Fontane (Unité)";7;0;35
102-UNITE;978-2-491255-52-7;"La Vocation de la France - Servir les cœurs unis de Jésus et Marie - Quantité: Lot de 10 (-30%)";462;0;2
102-UNITE;978-2-491255-52-7;"La Vocation de la France - Servir les cœurs unis de Jésus et Marie - Quantité: Unité";4438;4;129
242-UNITE;978-2-35389-623-3;"La voie de la Belle Dame (Unité)";26;0;3
29-UNITE;978-2-491255-20-6;"Le Linceul de Turin - Nouvelle preuve de la Résurrection du Christ - Quantité: Unité";29;13;266
29-UNITE;978-2-491255-20-6;"Le Linceul de Turin - Nouvelle preuve de la Résurrection du Christ - Quantité: Lot de 10 (-30%)";278;0;16
53-UNITE;978-2-35689-009-2;"Le livre de Saint Joseph - Le saint du XXIème siècle (Unité)";2903;0;61
229-UNITE;978-2-487056-14-5;"Le plus précieux trésor, découvrir l'Eucharistie (Unité)";0;0;0
40-UNITE;978-2-35689-013-9;"Le Rosaire - Les vingt mystères revisités (Unité)";18;0;65
153-UNITE;978-2-491255-87-9;"Le Rosaire, les 20 mystères revisités - Version 2023 - Quantité: Unité";734;0;61
153-UNITE;978-2-491255-87-9;"Le Rosaire, les 20 mystères revisités - Version 2023 - Quantité: Lot de 3";13;0;2
201-UNITE;978-2-7403-2589-6;"Le témoignage de Mirjana: Mon cœur triomphera (Unité)";25;0;26
210-UNITE;978-2-7403-1217-9;"Les apparitions de Versailles (Unité)";0;0;52
177-UNITE;978-2-38488-032-4;"Les carmélites de Compiègne Martyres de la révolution (Unité)";46;1;12
158-UNITE;978-2-491255-85-5;"Les travers de la zététique _réponse au livre de Thomas Durand (Unité)";55;3;77
35-UNITE;978-2-35689-014-6;"Les vingt mystères de la neuvaine (Unité)";5;1;338
231-UNITE;979-1033614-95-1;"Libre Réponse à Michel Onfray _NON le Christ n'est pas un Mythe (Unité)";34;73;174
118-UNITE;978-2-491255-65-7;"Livret de prière (Unité)";0;0;0
246-GRATUIT;9782487056268;"Livret missionnaire 16 pages version BD : « Il y a 1000 raisons de croire, découvre la tienne ! » - Quantité: Lot de 50";17;7;407
246-GRATUIT;9782487056268;"Livret missionnaire 16 pages version BD : « Il y a 1000 raisons de croire, découvre la tienne ! » - Quantité: Lot de 10";344;19;1203
246-GRATUIT;9782487056268;"Livret missionnaire 16 pages version BD : « Il y a 1000 raisons de croire, découvre la tienne ! » - Quantité: Lot de 100";1;10;469
232-GRATUIT;978-2-491255-94-7;"Livret missionnaire 16 pages version intégrale : « Il y a 1000 raisons de croire en Jésus, et ça change tout ! » - Quantité: Lot de 10";967;27;1396
232-GRATUIT;978-2-491255-94-7;"Livret missionnaire 16 pages version intégrale : « Il y a 1000 raisons de croire en Jésus, et ça change tout ! » - Quantité: Lot de 50";108;20;491
232-GRATUIT;978-2-491255-94-7;"Livret missionnaire 16 pages version intégrale : « Il y a 1000 raisons de croire en Jésus, et ça change tout ! » - Quantité: Lot de 100";1;17;520
34-LOT5;978-2-35689-011-5;"Lot de 5 livrets - neuvaine à Marie qui défait les nœuds (Unité)";0;0;99
39-UNITE-5;978-2-35689-086-3;"Lot de 5 livrets - Neuvaine pour la famille - Marie qui défait les nœuds (Unité)";0;0;0
43-UNITE-5;978-2-35689-085-6;"Lot de 5 livrets Neuvaine pour la maladie - Marie qui défait les nœuds (Unité)";0;0;0
38-UNITE-5;978-2-35689-084-9;"Lot de 5 livrets Neuvaine pour le travail - Marie qui défait les nœuds (Unité)";0;0;0
61-LOT5;;"Lot de 5 petites médailles dorées Marie qui défait les Nœuds - 15 mm (Unité)";0;0;5
31-UNITE;978-2-9555343-8-0;"Lumière du Monde - La beauté de l'Église et le génie catholique - Quantité: Unité";1526;1;51
31-UNITE;978-2-9555343-8-0;"Lumière du Monde - La beauté de l'Église et le génie catholique - Quantité: Lot de 10 (-30%)";662;0;4
49-UNITE;978-2-9555343-0-4;"Lumières sur Nazareth  Version Française (Unité)";709;0;5
99-UNITE;9782955534311;"Lumières sur Nazareth Version Anglaise (Unité)";518;0;0
1000RCMAG01;;"Magazine 1000 raisons de croire Le n°1 _ Si tu existes, envoies-moi un signe ! - Quantité: Unité";1018;11;102
1000RCMAG01;;"Magazine 1000 raisons de croire Le n°1 _ Si tu existes, envoies-moi un signe ! - Quantité: Lot de 5";19;0;0
1000RCMAG02;;"Magazine 1000 raisons de croire Le n°2_Les prophéties bibliques enfin décodées ! - Quantité: Unité";2172;13;103
1000RCMAG02;;"Magazine 1000 raisons de croire Le n°2_Les prophéties bibliques enfin décodées ! - Quantité: Lot de 5";20;0;0
1000RCMAG03;;"Magazine 1000 raisons de croire Le n°3_Oui, anges et démons existent ! - Quantité: Unité";3086;12;84
1000RCMAG03;;"Magazine 1000 raisons de croire Le n°3_Oui, anges et démons existent ! - Quantité: Lot de 5";20;0;0
1000RCMAG04;;"Magazine 1000 raisons de croire Le n°4_Elle s'est manifestée 2400 fois ! - Quantité: Unité";3011;16;87
1000RCMAG04;;"Magazine 1000 raisons de croire Le n°4_Elle s'est manifestée 2400 fois ! - Quantité: Lot de 5";18;0;1
1000RCMAG05;;"Magazine 1000 raisons de croire Le n°5_Ils reviennent de l'au-delà ! - Quantité: Unité";2976;8;82
1000RCMAG05;;"Magazine 1000 raisons de croire Le n°5_Ils reviennent de l'au-delà ! - Quantité: Lot de 5";17;0;3
1000RCMAG06;;"Magazine 1000 raisons de croire Le n°6_Le miracle de Notre Dame - Quantité: Unité";1710;5;85
1000RCMAG06;;"Magazine 1000 raisons de croire Le n°6_Le miracle de Notre Dame - Quantité: Lot de 5";18;0;2
1000RCMAG07;;"Magazine 1000 raisons de croire Le n°7_La grande et unique histoire de la charité - Quantité: Unité";2238;4;24
1000RCMAG07;;"Magazine 1000 raisons de croire Le n°7_La grande et unique histoire de la charité - Quantité: Lot de 5";27;0;3
1000RCMAG08;;"Magazine 1000 Raisons de croire Le n°8_ Sainte Jeanne d'Arc - Quantité: Unité";2424;26;26
1000RCMAG08;;"Magazine 1000 Raisons de croire Le n°8_ Sainte Jeanne d'Arc - Quantité: Lot de 5";10;0;0
135-GRATUIT;;"Magazine Ave Maria - N° Ave Maria: 74 : Les 100 étoiles sont lancées";0;0;17
135-GRATUIT;;"Magazine Ave Maria - N° Ave Maria: 75 : En 2022, centenaire rime aussi avec rosaire";61;0;10
135-GRATUIT;;"Magazine Ave Maria - N° Ave Maria: 76 : Joyeux Noël, «Merci Marie»";290;1;11
135-GRATUIT;;"Magazine Ave Maria - N° Ave Maria: 73 : Marie et Jeanne, les deux patronnes qui veillent sur la France";188;0;21
135-GRATUIT;;"Magazine Ave Maria - N° Ave Maria: 71 : Jésus, fils de Joseph";105;0;20
135-GRATUIT;;"Magazine Ave Maria - N° Ave Maria: 69 : Retrouvons nos racines !";11;0;16
135-GRATUIT;;"Magazine Ave Maria - N° Ave Maria: 68 : France, royaume de Marie !";46;0;19
135-GRATUIT;;"Magazine Ave Maria - N° Ave Maria: 67 : 2021... année de Saint Joseph";6;0;13
135-GRATUIT;;"Magazine Ave Maria - N° Ave Maria: 66 : Elle est passée chez vous !";0;0;19
135-GRATUIT;;"Magazine Ave Maria - N° Ave Maria: 65 : Elle a pris les devants, notre reine !";42;0;23
135-GRATUIT;;"Magazine Ave Maria - N° Ave Maria: 77 : Bernadette ne nous a pas trompés !";309;0;23
135-GRATUIT;;"Magazine Ave Maria - N° Ave Maria: 78 : « Fais-moi connaître »";65;0;23
135-GRATUIT;;"Magazine Ave Maria - N° Ave Maria: 79 : L'Église, notre héritage";98;0;23
135-GRATUIT;;"Magazine Ave Maria - N° Ave Maria: 80 : Publions les merveilles de Dieu !";2;0;0
135-GRATUIT;;"Magazine Ave Maria - N° Ave Maria: 81: La crèche : 800 ans d'histoire et de tradition";292;0;13
135-GRATUIT;;"Magazine Ave Maria - N° Ave Maria: 82 :  Guadalupe, 500 ans de dévotion";574;0;22
135-GRATUIT;;"Magazine Ave Maria - N° Ave Maria: 83 : Le Christ est roi";572;0;28
135-GRATUIT;;"Magazine Ave Maria - N° Ave Maria: 84: Marie, notre mère à tous";196;0;38
135-GRATUIT;;"Magazine Ave Maria - N° Ave Maria: 85: Trois anniversaires pour fêter Sainte Thérèse";19;0;296
135-GRATUIT;;"Magazine Ave Maria - N° Ave Maria: 86 : Le Miracle de Notre-Dame";0;0;192
73-UNITE;978-2-35689-096-2;"Maria desatadora de nudos (ES) (Unité)";189;0;401
80-UNITE;;"Maria Knotenloserin - Karte (DE) (Unité)";901;0;54
79-UNITE;978-2-35689-003-0;"Maria Knotenloserin novene (DE) (Unité)";1270;0;172
94-UNITE;978-2-9555343-6-6;"Maria Valtorta - Confirmation par la science - Quantité: Unité";18;9;168
94-UNITE;978-2-9555343-6-6;"Maria Valtorta - Confirmation par la science - Quantité: Lot de 10 (-30%)";0;0;0
70-UNITE;978-2-35689-000-9;"Maria, Desatadora dos nós (PT) (Unité)";421;0;237
;;"Mariam songs (Unité)";0;0;0
236-UNITE;978-2-38433-152-9;"Marie d'ici et d'ailleurs (Unité)";26;0;3
197-UNITE;978-2-7289-1983-3;"Marie de Nazareth (Unité)";10;1;9
183-UNITE;978-2-7067-2085-7;"Marie des écritures (Unité)";42;0;2
76-UNITE;978-2-35689-004-7;"Marie die de knopen ontwart (NL) (Unité)";0;0;0
250-UNITE;978-2-487056-42-8;"Marie et la France *Edition Notre Dame* - Quantité: Unité";564;4;502
250-UNITE;978-2-487056-42-8;"Marie et la France *Edition Notre Dame* - Quantité: Lot de 10";26;1;13
21-UNITE;978-2-491255-29-9;"Marie et la France - Un lien extraordinaire à redécouvrir - Quantité: Unité";27;2;183
21-UNITE;978-2-491255-29-9;"Marie et la France - Un lien extraordinaire à redécouvrir - Quantité: Lot de 10 (-30%)";157;0;3
240-UNITE;9782915313598;"Marie et nos épreuves (Arrêt commercial) (Unité)";0;0;0
273-UNITE;978-2-487056-62-6;"Marie qui défait les noeuds : la neuvaine originale avec le tableau original (Unité)";0;0;0
115-UNITE;978-2-491255-62-6;"Marie qui défait les noeuds, d'un miracle à une dévotion (Unité)";1438;0;183
230-UNITE;978-2-487056-21-3;"Marie qui défait les noeuds_le tableau ! (Unité)";60;0;26
55-UNITE;978-2-35689-087-0;"Marie qui défait les nœuds - Neuvaine intégrale, avec les citations bibliques (Unité)";0;0;0
97-UNITE;978-2-491255-50-3;"Marie qui défait les nœuds - Neuvaine intégrale, avec les citations bibliques - Quantité: Unité";374;5;446
97-UNITE;978-2-491255-50-3;"Marie qui défait les nœuds - Neuvaine intégrale, avec les citations bibliques - Quantité: Lot de 3";18;1;2
180-UNITE;978-2-36040-597-8;"Marie, mon secret (Unité)";0;0;24
72-UNITE;978-2-23568-990-8;"Mary who unties knots  (chinese version) (Unité)";0;0;99
78-UNITE;978-2-35689-002-3;"Mary who Unties Knots (EN) (Unité)";0;0;371
200-UNITE;;"Médaille Miraculeuse en aluminium blanc (Unité)";22;0;45
199-UNITE;;"Médaille Miraculeuse en aluminium couleur or (Unité)";0;6;107
181-UNITE;978-2-7067-0501-4;"Méditations sur Marie (arrêt commercial) (Unité)";-2;0;5
193-UNITE;979-10-336-1459-3;"Méditer la parole avec la Vierge Marie (Unité)";135;0;37
274-UNITE;9782487056688;"Neuvaine à Carlo Acutis - Quantité: Unité";0;0;0
124-UNITE;978-2-491255-67-1;"Neuvaine à l'Archange Saint Michel (Unité)";60;2;790
121-UNITE;978-2-491255-66-4;"Neuvaine à l'Immaculée avec Maximilien Kolbe (Unité)";720;1;41
100-UNITE;978-2-491255-48-0;"Neuvaine à l'Immaculée Conception (Unité)";332;0;139
146-UNITE;978-2-491255-78-7;"Neuvaine à la Miséricorde Divine (Unité)";217;2;375
228-UNITE;978-2-487056-20-6;"Neuvaine à la Vierge de l'Assomption (édition reportée) (Unité)";0;0;0
92-UNITE;978-2-491255-45-9;"Neuvaine à la Vierge Marie avec la petite Thérèse (Unité)";1222;3;498
226-UNITE;978-2-487056-11-4;"Neuvaine à Marie avec soeur Emmanuel de Medjugorje (Unité)";474;0;346
140-UNITE;978-2-491255-72-5;"Neuvaine à Marie qui défait les noeuds - Version originale 2022 (Unité)";650;49;5844
195-UNITE;;"Neuvaine à Marie qui Défait les Nœuds - pack complet avec Bougie de Neuvaine (Unité)";3;6;39
198-UNITE;;"Neuvaine à Marie qui Défait les Nœuds édition reliée et enluminée - pack complet avec Bougie de Neuvaine (Unité)";5;0;64
142-UNITE;978-2-491255-77-0;"Neuvaine à Marie Reine des Coeurs (Unité)";416;0;91
260-UNITE;978-2-487056-54-1;"Neuvaine à Marie, refuge des pêcheurs - Quantité: Unité";391;0;255
260-UNITE;978-2-487056-54-1;"Neuvaine à Marie, refuge des pêcheurs - Quantité: Lot de 5";30;0;0
170-UNITE;978-2-491255-99-2;"Neuvaine à Notre Dame de Guadalupe (Unité)";474;1;401
131-UNITE;978-2-491255-71-8;"Neuvaine à Notre Dame de la Médaille Miraculeuse - Quantité: Unité";326;0;138
131-UNITE;978-2-491255-71-8;"Neuvaine à Notre Dame de la Médaille Miraculeuse - Quantité: Lot de 5";18;0;1
101-UNITE;978-2-491255-56-5;"Neuvaine à Notre Dame de Pontmain pour soutenir l'Espérance - Quantité: Unité";51;1;796
101-UNITE;978-2-491255-56-5;"Neuvaine à Notre Dame de Pontmain pour soutenir l'Espérance - Quantité: Lot de 5";1;0;18
88-UNITE;978-2-491255-41-1;"Neuvaine à Notre Dame du Mont-Carmel avec les saints du Carmel (Unité)";1673;0;67
96-UNITE;978-2-491255-49-7;"Neuvaine à Notre Dame Libératrice du Sanctuaire de Montligeon (Unité)";196;0;309
148-UNITE;978-2-491255-81-7;"Neuvaine à Padre Pio (Unité)";293;3;399
275-UNITE;9782487056695;"Neuvaine à Pier Giorgio Frassatti - Quantité: Unité";0;0;0
145-UNITE;978-2-491255-79-4;"Neuvaine à Saint Antoine de Padoue (Unité)";321;1;226
227-UNITE;978-2-487056-19-0;"Neuvaine à Saint Charbel (Unité)";443;2;1098
182-UNITE;978-2-491255-80-0;"Neuvaine à Saint Jean Paul II _Témoin de la présence de Marie dans la vie de l’Église (Unité)";418;1;150
82-UNITE;978-2-491255-38-1;"Neuvaine à Saint Joseph pour la famille - Quantité: Unité";1877;2;92
82-UNITE;978-2-491255-38-1;"Neuvaine à Saint Joseph pour la famille - Quantité: Lot de 5";20;0;0
85-UNITE;978-2-491255-40-4;"Neuvaine à saint Louis-Marie Grignion de Montfort (Unité)";2077;0;75
190-UNITE;978-2-487056-02-2;"Neuvaine à sainte Joséphine Bakhita (Unité)";383;1;308
225-UNITE;978-2-487056-10-7;"Neuvaine à Sainte Rita (Unité)";474;1;736
147-UNITE;;"Neuvaine à Saints Louis et Zélie Martin (Unité)";0;0;0
172-UNITE;978-2-487056-00-8;"Neuvaine à Soeur Joséfa Menendèz - Quantité: Unité";245;1;38
172-UNITE;978-2-487056-00-8;"Neuvaine à Soeur Joséfa Menendèz - Quantité: Lot de 5";15;0;0
130-UNITE;978-2-491255-69-5;"Neuvaine à St Joseph pour préparer Noël en méditant les mystères de l'Avent (Unité)";631;0;117
217-UNITE;978-2-487056-09-1;"Neuvaine à Thomas d'Aquin avec la Vierge Marie (Unité)";548;0;534
268-UNITE;;"Neuvaine au bienheureux père Daniel Brottier (Unité)";0;0;0
117-UNITE;978-2-491255-63-3;"Neuvaine au Coeur Immaculé de Marie - Quantité: Unité";743;0;213
117-UNITE;978-2-491255-63-3;"Neuvaine au Coeur Immaculé de Marie - Quantité: Lot de 5";20;0;0
162-UNITE;978-2-491255-93-0;"Neuvaine au Curé d'Ars (Unité)";478;0;326
216-UNITE;978-2-487056-08-4;"Neuvaine au précieux sang de Jésus (Unité)";419;2;915
87-UNITE;978-2-491255-33-6;"Neuvaine au Sacré-Cœur de Jésus pour la guérison de toutes les maladies - Quantité: Unité";143;4;112
87-UNITE;978-2-491255-33-6;"Neuvaine au Sacré-Cœur de Jésus pour la guérison de toutes les maladies - Quantité: Lot de 5";14;0;1
86-UNITE;978-2-491255-39-8;"Neuvaine au Saint-Esprit avec Marie (Unité)";1617;3;528
104-UNITE;978-2-491255-59-6;"Neuvaine de préparation pour se consacrer aux Cœurs Unis (Unité)";442;1;149
141-UNITE;978-2-491255-76-3;"Neuvaine intégrale Marie qui défait les noeuds reliée et enluminée - Quantité: Unité";493;14;276
