"Référence Produit";ISBN;"Nom Produit";"Quantité en Stock";"Quantité Vendue March 2025";"Quantité Vendue 01 Apr 2024 - 31 Mar 2025XXX"
26-UNITE;978-2-9555343-7-3;"Jésus, le Messie attendu par Israël - Selon les prophéties bibliques - Quantité: Lot de 10 (-30%)";474;0;3
220-UNITE;979-10-336-1493-7;"Joseph de Nazareth (Unité)";87;0;10
23-UNITE;978-2-491255-27-5;"Joseph, modèle de vie - Si important pour notre temps - Quantité: Unité";2244;6;139
23-UNITE;978-2-491255-27-5;"Joseph, modèle de vie - Si important pour notre temps - Quantité: Lot de 10 (-30%)";215;2;4
119-KIT;;"Kit Consécration (Unité)";0;0;0
278-KIT;;"Kit Marie qui défait les Noeuds_Faire un autel chez soi (Unité)";0;0;0
129-KIT;;"Kit Merci Marie (Unité)";440;0;63
208-UNITE;978-2-7403-2158-4;"L'apparition de la Très Sainte Vierge sur la Montagne de la Salette (Unité)";12;0;7
245-UNITE;978-2-35389-975-3;"L'art de la prière (Unité)";19;0;11
173-UNITE;979-10-33603-59-7;"L'imitation de la bienheureuse Vierge Marie (Unité)";33;0;12
209-UNITE;978-2-7403-1436-4;"La dévotion réparatrice au Coeur immaculé de Marie (Unité)";0;0;0
203-UNITE;978-2-7403-2506-3;"La folie du Totus Tuus (Unité)";7;0;5
132-UNITE;978-88-7987-391-8;"La Force des Martyrs (Unité)";43;0;17
241-UNITE;9782915313611;"La maternité spirituelle de Marie (Arrêt commercial) (Unité)";0;0;0
174-UNITE;978-2492547010;"La Médaille miraculeuse_Les apparitions de la rue du Bac (Unité)";18;0;34
213-UNITE;9782740323281;"La très belle histoire de l'apparition de Pontmain (Unité)";0;0;13
205-UNITE;978-2-7403-2522-3;"La très belle histoire de la Médaille Miraculeuse (Unité)";0;0;12
212-UNITE;978-2-7403-2407-3;"La très belle histoire de Notre Dame de Pellevoisin (Unité)";4;0;13
214-UNITE;978-2-7403-2434-9;"La très belle histoire de Notre-Dame de Lourdes (Unité)";0;0;14
202-UNITE;978-2-7403-2554-4;"La vie de la Vierge Marie dans l'art (Unité)";16;1;32
219-UNITE;979-10-336-1508-8;"La Vierge de l'apocalypse. Aux portes de Rome, les apparitions de Tre Fontane (Unité)";9;1;37
102-UNITE;978-2-491255-52-7;"La Vocation de la France - Servir les cœurs unis de Jésus et Marie - Quantité: Lot de 10 (-30%)";462;0;2
102-UNITE;978-2-491255-52-7;"La Vocation de la France - Servir les cœurs unis de Jésus et Marie - Quantité: Unité";4443;8;134
242-UNITE;978-2-35389-623-3;"La voie de la Belle Dame (Unité)";27;0;3
29-UNITE;978-2-491255-20-6;"Le Linceul de Turin - Nouvelle preuve de la Résurrection du Christ - Quantité: Unité";46;14;285
29-UNITE;978-2-491255-20-6;"Le Linceul de Turin - Nouvelle preuve de la Résurrection du Christ - Quantité: Lot de 10 (-30%)";278;1;22
53-UNITE;978-2-35689-009-2;"Le livre de Saint Joseph - Le saint du XXIème siècle (Unité)";2904;5;70
229-UNITE;978-2-487056-14-5;"Le plus précieux trésor, découvrir l'Eucharistie (Unité)";0;0;0
40-UNITE;978-2-35689-013-9;"Le Rosaire - Les vingt mystères revisités (Unité)";18;2;69
153-UNITE;978-2-491255-87-9;"Le Rosaire, les 20 mystères revisités - Version 2023 - Quantité: Unité";735;15;61
153-UNITE;978-2-491255-87-9;"Le Rosaire, les 20 mystères revisités - Version 2023 - Quantité: Lot de 3";13;0;2
201-UNITE;978-2-7403-2589-6;"Le témoignage de Mirjana: Mon cœur triomphera (Unité)";26;0;30
210-UNITE;978-2-7403-1217-9;"Les apparitions de Versailles (Unité)";0;0;55
177-UNITE;978-2-38488-032-4;"Les carmélites de Compiègne Martyres de la révolution (Unité)";47;1;12
158-UNITE;978-2-491255-85-5;"Les travers de la zététique _réponse au livre de Thomas Durand (Unité)";58;2;128
35-UNITE;978-2-35689-014-6;"Les vingt mystères de la neuvaine (Unité)";6;12;485
231-UNITE;979-1033614-95-1;"Libre Réponse à Michel Onfray _NON le Christ n'est pas un Mythe (Unité)";57;1;148
118-UNITE;978-2-491255-65-7;"Livret de prière (Unité)";0;0;0
246-GRATUIT;9782487056268;"Livret missionnaire 16 pages version BD : « Il y a 1000 raisons de croire, découvre la tienne ! » - Quantité: Lot de 50";28;10;399
246-GRATUIT;9782487056268;"Livret missionnaire 16 pages version BD : « Il y a 1000 raisons de croire, découvre la tienne ! » - Quantité: Lot de 10";395;10;1181
246-GRATUIT;9782487056268;"Livret missionnaire 16 pages version BD : « Il y a 1000 raisons de croire, découvre la tienne ! » - Quantité: Lot de 100";6;11;459
232-GRATUIT;978-2-491255-94-7;"Livret missionnaire 16 pages version intégrale : « Il y a 1000 raisons de croire en Jésus, et ça change tout ! » - Quantité: Lot de 10";1099;16;1397
232-GRATUIT;978-2-491255-94-7;"Livret missionnaire 16 pages version intégrale : « Il y a 1000 raisons de croire en Jésus, et ça change tout ! » - Quantité: Lot de 50";142;5;495
232-GRATUIT;978-2-491255-94-7;"Livret missionnaire 16 pages version intégrale : « Il y a 1000 raisons de croire en Jésus, et ça change tout ! » - Quantité: Lot de 100";9;10;529
271-LOT25;978-2-487056-60-2;"Lot de 25 cartes prières Carlo Acutis (Unité)";0;0;0
272-LOT25;978-2-487056-61-9;"Lot de 25 cartes prières Image indulgenciée du sacré coeur (Unité)";0;0;0
270-LOT25;;"Lot de 25 cartes prières MQDLN (Unité)";0;0;0
34-LOT5;978-2-35689-011-5;"Lot de 5 livrets - neuvaine à Marie qui défait les nœuds (Unité)";0;21;108
39-UNITE-5;978-2-35689-086-3;"Lot de 5 livrets - Neuvaine pour la famille - Marie qui défait les nœuds (Unité)";0;0;0
43-UNITE-5;978-2-35689-085-6;"Lot de 5 livrets Neuvaine pour la maladie - Marie qui défait les nœuds (Unité)";0;0;0
38-UNITE-5;978-2-35689-084-9;"Lot de 5 livrets Neuvaine pour le travail - Marie qui défait les nœuds (Unité)";0;0;0
61-LOT5;;"Lot de 5 petites médailles dorées Marie qui défait les Nœuds - 15 mm (Unité)";0;0;6
31-UNITE;978-2-9555343-8-0;"Lumière du Monde - La beauté de l'Église et le génie catholique - Quantité: Unité";1527;4;55
31-UNITE;978-2-9555343-8-0;"Lumière du Monde - La beauté de l'Église et le génie catholique - Quantité: Lot de 10 (-30%)";662;0;5
49-UNITE;978-2-9555343-0-4;"Lumières sur Nazareth  Version Française (Unité)";709;1;7
99-UNITE;9782955534311;"Lumières sur Nazareth Version Anglaise (Unité)";518;0;0
1000RCMAG01;;"Magazine 1000 raisons de croire Le n°1 _ Si tu existes, envoies-moi un signe ! - Quantité: Unité";1072;2;91
1000RCMAG01;;"Magazine 1000 raisons de croire Le n°1 _ Si tu existes, envoies-moi un signe ! - Quantité: Lot de 5";19;0;0
1000RCMAG02;;"Magazine 1000 raisons de croire Le n°2_Les prophéties bibliques enfin décodées ! - Quantité: Unité";2216;1;90
1000RCMAG02;;"Magazine 1000 raisons de croire Le n°2_Les prophéties bibliques enfin décodées ! - Quantité: Lot de 5";20;0;0
1000RCMAG03;;"Magazine 1000 raisons de croire Le n°3_Oui, anges et démons existent ! - Quantité: Unité";3129;3;72
1000RCMAG03;;"Magazine 1000 raisons de croire Le n°3_Oui, anges et démons existent ! - Quantité: Lot de 5";20;0;0
1000RCMAG04;;"Magazine 1000 raisons de croire Le n°4_Elle s'est manifestée 2400 fois ! - Quantité: Unité";3057;2;71
1000RCMAG04;;"Magazine 1000 raisons de croire Le n°4_Elle s'est manifestée 2400 fois ! - Quantité: Lot de 5";18;0;1
1000RCMAG05;;"Magazine 1000 raisons de croire Le n°5_Ils reviennent de l'au-delà ! - Quantité: Unité";2994;1;74
1000RCMAG05;;"Magazine 1000 raisons de croire Le n°5_Ils reviennent de l'au-delà ! - Quantité: Lot de 5";17;0;3
1000RCMAG06;;"Magazine 1000 raisons de croire Le n°6_Le miracle de Notre Dame - Quantité: Unité";1746;8;80
1000RCMAG06;;"Magazine 1000 raisons de croire Le n°6_Le miracle de Notre Dame - Quantité: Lot de 5";18;0;2
1000RCMAG07;;"Magazine 1000 raisons de croire Le n°7_La grande et unique histoire de la charité - Quantité: Unité";2323;3;20
1000RCMAG07;;"Magazine 1000 raisons de croire Le n°7_La grande et unique histoire de la charité - Quantité: Lot de 5";27;1;3
1000RCMAG08;;"Magazine 1000 Raisons de croire Le n°8_ Jeanne d'Arc - Quantité: Unité";0;0;0
1000RCMAG08;;"Magazine 1000 Raisons de croire Le n°8_ Jeanne d'Arc - Quantité: Lot de 5";0;0;0
135-GRATUIT;;"Magazine Ave Maria - N° Ave Maria: 74 : Les 100 étoiles sont lancées";0;0;17
135-GRATUIT;;"Magazine Ave Maria - N° Ave Maria: 75 : En 2022, centenaire rime aussi avec rosaire";61;0;10
135-GRATUIT;;"Magazine Ave Maria - N° Ave Maria: 76 : Joyeux Noël, «Merci Marie»";291;0;10
135-GRATUIT;;"Magazine Ave Maria - N° Ave Maria: 73 : Marie et Jeanne, les deux patronnes qui veillent sur la France";188;0;21
135-GRATUIT;;"Magazine Ave Maria - N° Ave Maria: 71 : Jésus, fils de Joseph";105;0;20
135-GRATUIT;;"Magazine Ave Maria - N° Ave Maria: 69 : Retrouvons nos racines !";11;0;16
135-GRATUIT;;"Magazine Ave Maria - N° Ave Maria: 68 : France, royaume de Marie !";46;0;19
135-GRATUIT;;"Magazine Ave Maria - N° Ave Maria: 67 : 2021... année de Saint Joseph";6;0;13
135-GRATUIT;;"Magazine Ave Maria - N° Ave Maria: 66 : Elle est passée chez vous !";0;0;19
135-GRATUIT;;"Magazine Ave Maria - N° Ave Maria: 65 : Elle a pris les devants, notre reine !";42;0;23
135-GRATUIT;;"Magazine Ave Maria - N° Ave Maria: 77 : Bernadette ne nous a pas trompés !";309;0;23
135-GRATUIT;;"Magazine Ave Maria - N° Ave Maria: 78 : « Fais-moi connaître »";65;0;23
135-GRATUIT;;"Magazine Ave Maria - N° Ave Maria: 79 : L'Église, notre héritage";98;0;23
135-GRATUIT;;"Magazine Ave Maria - N° Ave Maria: 80 : Publions les merveilles de Dieu !";2;0;0
135-GRATUIT;;"Magazine Ave Maria - N° Ave Maria: 81: La crèche : 800 ans d'histoire et de tradition";292;0;13
135-GRATUIT;;"Magazine Ave Maria - N° Ave Maria: 82 :  Guadalupe, 500 ans de dévotion";574;0;22
135-GRATUIT;;"Magazine Ave Maria - N° Ave Maria: 83 : Le Christ est roi";572;0;28
135-GRATUIT;;"Magazine Ave Maria - N° Ave Maria: 84: Marie, notre mère à tous";196;0;38
135-GRATUIT;;"Magazine Ave Maria - N° Ave Maria: 85: Trois anniversaires pour fêter Sainte Thérèse";19;0;296
135-GRATUIT;;"Magazine Ave Maria - N° Ave Maria: 86 : Le Miracle de Notre-Dame";0;0;192
73-UNITE;978-2-35689-096-2;"Maria desatadora de nudos (ES) (Unité)";189;2;413
80-UNITE;;"Maria Knotenloserin - Karte (DE) (Unité)";901;0;104
79-UNITE;978-2-35689-003-0;"Maria Knotenloserin novene (DE) (Unité)";1270;0;474
94-UNITE;978-2-9555343-6-6;"Maria Valtorta - Confirmation par la science - Quantité: Unité";29;20;176
94-UNITE;978-2-9555343-6-6;"Maria Valtorta - Confirmation par la science - Quantité: Lot de 10 (-30%)";0;0;0
70-UNITE;978-2-35689-000-9;"Maria, Desatadora dos nós (PT) (Unité)";421;6;242
;;"Mariam songs (Unité)";0;0;0
236-UNITE;978-2-38433-152-9;"Marie d'ici et d'ailleurs (Unité)";27;0;3
197-UNITE;978-2-7289-1983-3;"Marie de Nazareth (Unité)";12;0;8
183-UNITE;978-2-7067-2085-7;"Marie des écritures (Unité)";42;0;2
76-UNITE;978-2-35689-004-7;"Marie die de knopen ontwart (NL) (Unité)";0;0;0
250-UNITE;978-2-487056-42-8;"Marie et la France *Edition Notre Dame* - Quantité: Unité";570;7;498
250-UNITE;978-2-487056-42-8;"Marie et la France *Edition Notre Dame* - Quantité: Lot de 10";27;0;12
21-UNITE;978-2-491255-29-9;"Marie et la France - Un lien extraordinaire à redécouvrir - Quantité: Unité";29;2;187
21-UNITE;978-2-491255-29-9;"Marie et la France - Un lien extraordinaire à redécouvrir - Quantité: Lot de 10 (-30%)";157;0;3
240-UNITE;9782915313598;"Marie et nos épreuves (Arrêt commercial) (Unité)";0;0;0
273-UNITE;978-2-487056-62-6;"Marie qui défait les noeuds : la neuvaine originale avec le tableau original (Unité)";0;0;0
115-UNITE;978-2-491255-62-6;"Marie qui défait les noeuds, d'un miracle à une dévotion (Unité)";1438;10;192
230-UNITE;978-2-487056-21-3;"Marie qui défait les noeuds_le tableau ! (Unité)";75;0;26
55-UNITE;978-2-35689-087-0;"Marie qui défait les nœuds - Neuvaine intégrale, avec les citations bibliques (Unité)";0;0;0
97-UNITE;978-2-491255-50-3;"Marie qui défait les nœuds - Neuvaine intégrale, avec les citations bibliques - Quantité: Unité";379;108;438
97-UNITE;978-2-491255-50-3;"Marie qui défait les nœuds - Neuvaine intégrale, avec les citations bibliques - Quantité: Lot de 3";19;1;1
180-UNITE;978-2-36040-597-8;"Marie, mon secret (Unité)";0;0;24
72-UNITE;978-2-23568-990-8;"Mary who unties knots  (chinese version) (Unité)";0;0;99
78-UNITE;978-2-35689-002-3;"Mary who Unties Knots (EN) (Unité)";0;0;471
200-UNITE;;"Médaille Miraculeuse en aluminium blanc (Unité)";22;0;45
199-UNITE;;"Médaille Miraculeuse en aluminium couleur or (Unité)";0;18;105
181-UNITE;978-2-7067-0501-4;"Méditations sur Marie (arrêt commercial) (Unité)";-2;0;6
193-UNITE;979-10-336-1459-3;"Méditer la parole avec la Vierge Marie (Unité)";135;0;37
274-UNITE;;"Neuvaine à Carlo Acutis - Quantité: Unité";0;0;0
274-UNITE;;"Neuvaine à Carlo Acutis - Quantité: Lot de 5";0;0;0
124-UNITE;978-2-491255-67-1;"Neuvaine à l'Archange Saint Michel (Unité)";62;26;836
121-UNITE;978-2-491255-66-4;"Neuvaine à l'Immaculée avec Maximilien Kolbe (Unité)";721;1;51
100-UNITE;978-2-491255-48-0;"Neuvaine à l'Immaculée Conception (Unité)";332;9;142
146-UNITE;978-2-491255-78-7;"Neuvaine à la Miséricorde Divine (Unité)";221;40;418
228-UNITE;978-2-487056-20-6;"Neuvaine à la Vierge de l'Assomption (édition reportée) (Unité)";0;0;0
92-UNITE;978-2-491255-45-9;"Neuvaine à la Vierge Marie avec la petite Thérèse (Unité)";1226;8;559
226-UNITE;978-2-487056-11-4;"Neuvaine à Marie avec soeur Emmanuel de Medjugorje (Unité)";474;3;346
140-UNITE;978-2-491255-72-5;"Neuvaine à Marie qui défait les noeuds - Version originale 2022 (Unité)";700;369;6409
195-UNITE;;"Neuvaine à Marie qui Défait les Nœuds - pack complet avec Bougie de Neuvaine (Unité)";10;1;41
198-UNITE;;"Neuvaine à Marie qui Défait les Nœuds édition reliée et enluminée - pack complet avec Bougie de Neuvaine (Unité)";5;7;102
142-UNITE;978-2-491255-77-0;"Neuvaine à Marie Reine des Coeurs (Unité)";416;5;101
260-UNITE;978-2-487056-54-1;"Neuvaine à Marie, refuge des pêcheurs - Quantité: Unité";391;139;255
260-UNITE;978-2-487056-54-1;"Neuvaine à Marie, refuge des pêcheurs - Quantité: Lot de 5";30;0;0
170-UNITE;978-2-491255-99-2;"Neuvaine à Notre Dame de Guadalupe (Unité)";475;19;400
131-UNITE;978-2-491255-71-8;"Neuvaine à Notre Dame de la Médaille Miraculeuse - Quantité: Unité";329;40;138
131-UNITE;978-2-491255-71-8;"Neuvaine à Notre Dame de la Médaille Miraculeuse - Quantité: Lot de 5";18;0;1
101-UNITE;978-2-491255-56-5;"Neuvaine à Notre Dame de Pontmain pour soutenir l'Espérance - Quantité: Unité";52;251;795
101-UNITE;978-2-491255-56-5;"Neuvaine à Notre Dame de Pontmain pour soutenir l'Espérance - Quantité: Lot de 5";1;18;18
88-UNITE;978-2-491255-41-1;"Neuvaine à Notre Dame du Mont-Carmel avec les saints du Carmel (Unité)";1673;6;81
96-UNITE;978-2-491255-49-7;"Neuvaine à Notre Dame Libératrice du Sanctuaire de Montligeon (Unité)";196;4;439
148-UNITE;978-2-491255-81-7;"Neuvaine à Padre Pio (Unité)";297;21;444
275-UNITE;;"Neuvaine à Pier Giorgio Frassatti - Quantité: Unité";0;0;0
275-UNITE;;"Neuvaine à Pier Giorgio Frassatti - Quantité: Lot de 5";0;0;0
145-UNITE;978-2-491255-79-4;"Neuvaine à Saint Antoine de Padoue (Unité)";322;7;256
227-UNITE;978-2-487056-19-0;"Neuvaine à Saint Charbel (Unité)";444;149;1096
182-UNITE;978-2-491255-80-0;"Neuvaine à Saint Jean Paul II _Témoin de la présence de Marie dans la vie de l’Église (Unité)";418;8;152
82-UNITE;978-2-491255-38-1;"Neuvaine à Saint Joseph pour la famille - Quantité: Unité";1879;31;90
82-UNITE;978-2-491255-38-1;"Neuvaine à Saint Joseph pour la famille - Quantité: Lot de 5";20;0;0
85-UNITE;978-2-491255-40-4;"Neuvaine à saint Louis-Marie Grignion de Montfort (Unité)";2077;2;80
190-UNITE;978-2-487056-02-2;"Neuvaine à sainte Joséphine Bakhita (Unité)";384;35;829
225-UNITE;978-2-487056-10-7;"Neuvaine à Sainte Rita (Unité)";475;74;735
147-UNITE;;"Neuvaine à Saints Louis et Zélie Martin (Unité)";0;0;0
172-UNITE;978-2-487056-00-8;"Neuvaine à Soeur Joséfa Menendèz - Quantité: Unité";247;11;37
172-UNITE;978-2-487056-00-8;"Neuvaine à Soeur Joséfa Menendèz - Quantité: Lot de 5";15;0;0
130-UNITE;978-2-491255-69-5;"Neuvaine à St Joseph pour préparer Noël en méditant les mystères de l'Avent (Unité)";631;1;129
217-UNITE;978-2-487056-09-1;"Neuvaine à Thomas d'Aquin avec la Vierge Marie (Unité)";548;1;534
268-UNITE;;"Neuvaine au bienheureux père Daniel Brottier (Unité)";0;0;0
117-UNITE;978-2-491255-63-3;"Neuvaine au Coeur Immaculé de Marie - Quantité: Unité";758;5;213
117-UNITE;978-2-491255-63-3;"Neuvaine au Coeur Immaculé de Marie - Quantité: Lot de 5";20;0;0
162-UNITE;978-2-491255-93-0;"Neuvaine au Curé d'Ars (Unité)";478;7;326
216-UNITE;978-2-487056-08-4;"Neuvaine au précieux sang de Jésus (Unité)";422;43;920
87-UNITE;978-2-491255-33-6;"Neuvaine au Sacré-Cœur de Jésus pour la guérison de toutes les maladies - Quantité: Unité";148;29;108
87-UNITE;978-2-491255-33-6;"Neuvaine au Sacré-Cœur de Jésus pour la guérison de toutes les maladies - Quantité: Lot de 5";14;0;1
86-UNITE;978-2-491255-39-8;"Neuvaine au Saint-Esprit avec Marie (Unité)";1620;25;760
104-UNITE;978-2-491255-59-6;"Neuvaine de préparation pour se consacrer aux Cœurs Unis (Unité)";443;26;162
